datetime,uv_index,pm25,city,country
2025-10-17 00:00:00,0.0,,San Francisco,US
2025-10-17 01:00:00,0.0,,San Francisco,US
2025-10-17 02:00:00,0.0,,San Francisco,US
2025-10-17 03:00:00,0.0,,San Francisco,US
2025-10-17 04:00:00,0.0,,San Francisco,US
2025-10-17 05:00:00,0.0,,San Francisco,US
2025-10-17 06:00:00,0.0,,San Francisco,US
2025-10-17 07:00:00,0.1,,San Francisco,US
2025-10-17 08:00:00,0.85,,San Francisco,US
2025-10-17 09:00:00,2.15,,San Francisco,US
2025-10-17 10:00:00,3.5,,San Francisco,US
2025-10-17 11:00:00,4.6,,San Francisco,US
2025-10-17 12:00:00,5.15,,San Francisco,US
2025-10-17 13:00:00,5.1,,San Francisco,US
2025-10-17 14:00:00,4.45,,San Francisco,US
2025-10-17 15:00:00,3.3,,San Francisco,US
2025-10-17 16:00:00,1.9,,San Francisco,US
2025-10-17 17:00:00,0.7,,San Francisco,US
2025-10-17 18:00:00,0.05,,San Francisco,US
2025-10-17 19:00:00,0.0,,San Francisco,US
2025-10-17 20:00:00,0.0,,San Francisco,US
2025-10-17 21:00:00,0.0,,San Francisco,US
2025-10-17 22:00:00,0.0,,San Francisco,US
2025-10-17 23:00:00,0.0,59.0,San Francisco,US
2025-10-18 00:00:00,0.0,40.0,San Francisco,US
2025-10-18 01:00:00,0.0,40.0,San Francisco,US
2025-10-18 02:00:00,0.0,,San Francisco,US
2025-10-18 03:00:00,0.0,,San Francisco,US
2025-10-18 04:00:00,0.0,,San Francisco,US
2025-10-18 05:00:00,0.0,,San Francisco,US
2025-10-18 06:00:00,0.0,,San Francisco,US
2025-10-18 07:00:00,0.1,,San Francisco,US
2025-10-18 08:00:00,0.85,,San Francisco,US
2025-10-18 09:00:00,2.1,,San Francisco,US
2025-10-18 10:00:00,3.5,,San Francisco,US
2025-10-18 11:00:00,4.55,,San Francisco,US
2025-10-18 12:00:00,5.1,,San Francisco,US
2025-10-18 13:00:00,5.05,,San Francisco,US
2025-10-18 14:00:00,4.4,,San Francisco,US
2025-10-18 15:00:00,3.25,,San Francisco,US
2025-10-18 16:00:00,1.85,,San Francisco,US
2025-10-18 17:00:00,0.65,,San Francisco,US
2025-10-18 18:00:00,0.05,,San Francisco,US
2025-10-18 19:00:00,0.0,,San Francisco,US
2025-10-18 20:00:00,0.0,,San Francisco,US
2025-10-18 21:00:00,0.0,,San Francisco,US
2025-10-18 22:00:00,0.0,,San Francisco,US
2025-10-18 23:00:00,0.0,30.0,San Francisco,US
2025-10-19 00:00:00,0.0,51.0,San Francisco,US
2025-10-19 01:00:00,0.0,51.0,San Francisco,US
2025-10-19 02:00:00,0.0,,San Francisco,US
2025-10-19 03:00:00,0.0,,San Francisco,US
2025-10-19 04:00:00,0.0,,San Francisco,US
2025-10-19 05:00:00,0.0,,San Francisco,US
2025-10-19 06:00:00,0.0,,San Francisco,US
