datetime,uv_index,pm25,city,country,temp_c,hum_rh,press_hpa,gas_res_ohm,lux,dew_c,heat_index,uv_vis_ratio,hour,hour_sin,hour_cos,dow,dow_sin,dow_cos,safe_minutes_label
2025-10-17 00:00:00,0.0,35.888888888888886,San Francisco,US,5.496714153011233,83.791120032964,1012.2834265115758,552998.7498916333,563.2547560519428,2.254938159604033,45.87155682984099,1.7753955691985056e-09,0.0,0.0,1.0,4,-0.433883739117558,-0.9009688679024191,36.0
2025-10-17 01:00:00,0.0,35.888888888888886,San Francisco,US,5.202477435938133,76.77956859338416,1013.8095944359719,124892.92479072322,773.2429570411576,0.5583911546149638,49.900887341765646,1.293254583958038e-09,1.0,0.25881904510252074,0.9659258262890683,4,-0.433883739117558,-0.9009688679024191,36.0
2025-10-17 02:00:00,0.0,35.888888888888886,San Francisco,US,6.987434500256307,78.95094621169905,1013.530894314216,32875.784259605454,556.1856993895652,2.7776237425961163,42.54988867398377,1.7979606438992893e-09,2.0,0.49999999999999994,0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,36.0
2025-10-17 03:00:00,0.0,35.888888888888886,San Francisco,US,9.451962044542551,74.7415669248871,1013.858139070934,60620.321725630216,661.7977218458018,4.40027542951997,36.44124160231428,1.5110357220630676e-09,3.0,0.7071067811865475,0.7071067811865476,4,-0.433883739117558,-0.9009688679024191,48.0
2025-10-17 04:00:00,0.0,35.888888888888886,San Francisco,US,9.765846625276664,70.79206024400101,1012.8768635646477,954715.8571001568,718.9124909227592,3.9242586740768655,36.7248399189603,1.3909898787896444e-09,4.0,0.8660254037844386,0.5000000000000001,4,-0.433883739117558,-0.9009688679024191,48.0
2025-10-17 05:00:00,0.0,35.888888888888886,San Francisco,US,12.177672592025612,68.99344140237072,1013.6025802679784,150863.35642482646,747.2979024368353,5.976360872499756,31.56347972651232,1.3381544299816493e-09,5.0,0.9659258262890683,0.25881904510252074,4,-0.433883739117558,-0.9009688679024191,60.0
2025-10-17 06:00:00,0.0,35.888888888888886,San Francisco,US,16.57921281550739,62.197476308339404,1012.55434969697,711393.4706054669,874.0277385642611,9.01870807717527,26.319401552375847,1.1441284466538112e-09,6.0,1.0,6.123233995736766e-17,4,-0.433883739117558,-0.9009688679024191,60.0
2025-10-17 07:00:00,0.1,35.888888888888886,San Francisco,US,18.355625180178116,55.68979008642466,1015.0538186900866,77246.94218059798,1400.159600344814,9.493583197463048,25.633072338299506,7.142114363530547e-05,7.0,0.9659258262890683,-0.25881904510252063,4,-0.433883739117558,-0.9009688679024191,60.0
2025-10-17 08:00:00,0.85,35.888888888888886,San Francisco,US,19.53052561406505,45.035337691315114,1012.187454229878,117078.74871283035,8856.303202967776,8.537593152328071,25.437546460147196,9.597695341089777e-05,8.0,0.8660254037844387,-0.49999999999999983,4,-0.433883739117558,-0.9009688679024191,60.0
2025-10-17 09:00:00,2.15,35.888888888888886,San Francisco,US,22.61362785545144,42.97772549043066,1015.1052974294583,513787.48889524135,22156.693129664945,11.209172953537571,25.048091645896854,9.703618619081702e-05,9.0,0.7071067811865476,-0.7071067811865475,4,-0.433883739117558,-0.9009688679024191,60.0
2025-10-17 10:00:00,3.5,35.888888888888886,San Francisco,US,23.196836345031922,42.311365123524055,1013.0348879470894,470222.22085280024,35641.65324393148,11.659109369736733,25.134785068836123,9.819973770430324e-05,10.0,0.49999999999999994,-0.8660254037844387,4,-0.433883739117558,-0.9009688679024191,30.0
2025-10-17 11:00:00,4.6,35.888888888888886,San Francisco,US,24.193528509320423,40.961600597048594,1011.6244891104312,952064.5063454709,46655.13505992314,12.385848628730141,25.385982786454978,9.859581360108021e-05,11.0,0.258819045102521,-0.9659258262890682,4,-0.433883739117558,-0.9009688679024191,30.0
